use_no, field_name, old_value, new_value, error_id
4411497, AMT_PRD_USED, 3, .0052, 341369
4411499, LBS_PRD_USED, .0001, .0001, 341370
4411499, AMT_PRD_USED, 10, .0013, 341370
4411513, SITE_CODE, 015025, -1, 341371
4411514, SITE_CODE, 015025, -1, 341373
4411515, SITE_CODE, 015025, -1, 341375
4411637, LBS_PRD_USED, 190.032, 190.032, 341392
4411637, AMT_PRD_USED, 2575, 19.4949, 341392
4411642, ACRE_TREATED, .25, 816.75, 341393
2631209, LBS_PRD_USED, 39.2963, 39.2963, 200795
2631209, AMT_PRD_USED, 725376, 580.6083, 200795
2631496, LBS_PRD_USED, 22.1104, 22.1104, 200799
2631496, AMT_PRD_USED, 12, 8.75, 200799
2631520, LBS_PRD_USED, .0108, .0108, 200800
2631520, AMT_PRD_USED, 8, .1543, 200800
2631663, LBS_PRD_USED, 1.4532, 1.4532, 200801
2631663, AMT_PRD_USED, 192, 23.6793, 200801
2078220, LBS_PRD_USED, 1.706, 1.706, 167937
2078220, AMT_PRD_USED, 1.5, .1875, 167937
2079111, LBS_PRD_USED, 4.0213, 4.0213, 167938
2079111, AMT_PRD_USED, 1.82, .3979, 167938
2079228, LBS_PRD_USED, 1.2575, 1.2575, 167939
2079228, AMT_PRD_USED, .57, .1244, 167939
2079232, LBS_PRD_USED, 7.9155, 7.9155, 167940
2079232, AMT_PRD_USED, 3.58, .7831, 167940
2079236, LBS_PRD_USED, 3.0789, 3.0789, 167941
2079236, AMT_PRD_USED, 1.39, .3046, 167941
1342536, ACRE_PLANTED, 34, 37, 101892
1342537, ACRE_PLANTED, 34, 37, 101893
1342538, ACRE_PLANTED, 34, 37, 101894
1342539, ACRE_PLANTED, 34, 37, 101895
1342540, ACRE_PLANTED, 34, 37, 101896
1342541, ACRE_PLANTED, 34, 37, 101897
1342842, ACRE_PLANTED, 14, 16, 101900
1342843, ACRE_PLANTED, 14, 16, 101901
1342844, ACRE_PLANTED, 14, 16, 101902
1342845, ACRE_PLANTED, 14, 16, 101903
1342850, ACRE_PLANTED, 18.5, 19, 101904
1342851, ACRE_PLANTED, 18.5, 19, 101905
1342852, ACRE_PLANTED, 18.5, 19, 101906
1342853, ACRE_PLANTED, 18.5, 19, 101907
4138275, LBS_PRD_USED, .0028, .0028, 266285
4138275, AMT_PRD_USED, 6, .0011, 266285
4138276, ACRE_TREATED, .01, 16.67, 266286
4138278, LBS_PRD_USED, .032, .032, 266287
4138278, AMT_PRD_USED, 33, .0113, 266287
1343297, ACRE_PLANTED, 14, 16, 101924
1343301, ACRE_PLANTED, 18.5, 19, 101925
1343302, ACRE_PLANTED, 18.5, 19, 101926
1343303, ACRE_PLANTED, 18.5, 19, 101927
1343501, ACRE_PLANTED, 16, 18, 101928
1343502, ACRE_PLANTED, 16, 18, 101929
1343503, ACRE_PLANTED, 16, 18, 101930
1343504, ACRE_PLANTED, 12, 14, 101931
1343505, ACRE_PLANTED, 12, 14, 101932
1343506, ACRE_PLANTED, 12, 14, 101933
1343507, ACRE_PLANTED, 16, 17.5, 101934
1341869, ACRE_PLANTED, 12, 14, 101865
1341870, ACRE_PLANTED, 12, 14, 101866
