use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
3875999,36951,2300,.2,.024,12,12,LB,,,,,4,09/01/2018,,22,,,,,,,"","","PR 0582",,,10,0,2204,30,3,C,,
3038833,41483,2300,7.9,1.9847407,25.1233,377,OZ,,,,,133,08/01/2018,,22,,,,,,,"","","PR 0213",,,10,0,2202,34,4,C,,
4428946,41483,2300,7.9,.336935,4.265,2,QT,,,,,23,01/01/2018,,22,,,,,,,"","","BR 5258",,,10,0,2203,6,1,C,,
3878732,28853,2135,.005,.000071875,1.4375,23,OZ,,,,,,10/01/2018,,22,,,,,,,"","","PR 8054",,,10,0,2206,50,3,C,,
3855297,28853,2135,.005,.000025,.5,8,OZ,,,,,2,12/01/2018,,22,,,,,,,"","","BR 1932",,,10,0,2203,128,1,C,,
3879688,28853,2135,.005,.002,40,40,LB,,,,,40,11/01/2018,,22,,,,,,,"","","PR5692",,,10,0,2208,23,2,C,,
623404,28853,2135,.005,.0005,10,10,LB,,,,,10,03/01/2018,,22,,,,,,,"","","PR 5692",,,10,0,2203,55,2,C,,
2455435,28853,2135,.005,.002,40,40,LB,,,,,40,07/01/2018,,22,,,,,,,"","","PR 5692",,,10,0,2204,18,3,C,,
2143458,28853,2135,.005,.001,20,20,LB,,,,,20,04/01/2018,,22,,,,,,,"","","PR 5692",,,10,0,2202,40,3,C,,
2143498,28853,2135,.005,.000028125,.5625,9,OZ,,,,,,06/01/2018,,22,,,,,,,"","","BR 4530",,,10,0,2202,270,1,C,,
2143510,28853,2135,.005,.000015625,.3125,5,OZ,,,,,2,06/01/2018,,22,,,,,,,"","","BR 1932",,,10,0,2202,282,2,C,,
3879686,28900,2244,9,.004995,.0555,1,OZ,,,,,1,11/01/2018,,22,,,,,,,"","","BR 478",,,10,0,2208,21,2,C,,
3855319,5160,90486,1.2,.0076932,.6411,12,OZ,,,,,1,09/01/2018,,22,,,,,,,"","","PR 0213",,,10,0,2203,6,5,C,,
2143555,5160,396,10,.04274,.4274,8,OZ,,,,,1,05/01/2018,,22,,,,,,,"","","PR 0213",,,10,0,2202,103,5,C,,
3879677,38374,486,2,.002056,.1028,2,OZ,,,,,1,11/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2208,12,1,C,,
3878725,43732,2223,6,.003798,.0633,1,OZ,,,,,1,10/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2206,43,1,C,,
623249,43732,2223,6,.003798,.0633,1,OZ,,,,,1,01/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2204,11,2,C,,
623372,43732,2223,6,.026574,.4429,7,OZ,,,,,6,03/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2203,25,5,C,,
2455492,43732,2223,6,.06,1,1,LB,,,,,1,07/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2204,39,3,C,,X
4428997,2007,83,.61,.00857477,1.4057,25,OZ,20,A,5,A,1,04/05/2018,0800,22,M,03,S,15,E,26,"MID-01","22182400204","",,G,67002,0,2202,3,3,B,22M03S15E26,
3879684,34374,510,6,.004848,.0808,1.25,OZ,,,,,1,11/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2208,19,2,C,,
3038826,34374,510,6,.038772,.6462,10,OZ,,,,,1,08/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2202,27,2,C,,
2143535,34374,510,6,.009696,.1616,2.5,OZ,,,,,1,05/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2202,83,2,C,,
3875992,34374,486,48,.116304,.2423,3.75,OZ,,,,,1,09/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2204,23,3,C,,
2143673,45233,5497,27.5,.1375,.5,8,OZ,5,A,2,A,1,04/24/2018,1000,22,M,05,S,20,E,18,"DRL-01","22182200142","",,G,4001,0,2201,29,8,B,22M05S20E18,
3878703,28898,2244,9,.159876,1.7764,1,QT,,,,,9,10/01/2018,,22,,,,,,,"","","BR 5258",,,10,0,2206,11,6,C,,
2143407,28898,2244,9,.159876,1.7764,1,QT,,,,,12,04/01/2018,,22,,,,,,,"","","BR 5258",,,10,0,2202,26,7,C,,
2143581,33640,3010,.05,.00025,.5,.5,LB,,,,,1,06/01/2018,,22,,,,,,,"","","PR 2036",,,10,0,2202,129,3,C,,
3855261,29757,,,,.2926,4.94,OZ,,,,,19,11/01/2018,,22,,,,,,,"","","41255",,,40,0,2203,106,6,C,,
2143433,46450,1855,41,.625127,1.5247,20,OZ,,,,,2,05/01/2018,,22,,,,,,,"","","30192",,,30,0,2202,244,1,C,,
3855232,32919,2244,9,.004977,.0553,1,OZ,,,,,,10/01/2018,,22,,,,,,,"","","BR 3953",,,10,0,2203,77,1,C,,
3855280,31720,539,12.5,39.380075,315.0406,31,GA,,,1,U,31,12/01/2018,,22,,,,,,,"","22182402017","",,,61001,0,2203,151,1,C,,
3038896,31720,539,12.5,13.3384125,106.7073,10.5,GA,,,1,U,19,08/01/2018,,22,,,,,,,"","22182402017","",,,61001,0,2202,97,1,C,,
3879890,34448,3010,4.75,.00621775,.1309,1.91,OZ,,,,,8,12/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2210,28,5,C,,
2143611,34448,3010,4.75,.0084645,.1782,2.6,OZ,,,,,12,06/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2202,159,4,C,,
2143545,34448,3010,4.75,.00651225,.1371,2,OZ,,,,,2,05/01/2018,,22,,,,,,,"","","PR 3383",,,10,0,2202,93,3,C,,
3038886,31778,769,5,.2,4,4,LB,,,,,1,08/01/2018,,22,,,,,,,"","","BR 1932",,,10,0,2202,87,5,C,,
623410,23998,2143,75,1.40625,1.875,30,OZ,,,,,1,03/01/2018,,22,,,,,,,"","","30464",,,40,0,2203,61,4,C,,
3038865,13239,3551,27.9,8.4098691,30.1429,3,GA,,,2,A,1,08/01/2018,,22,,,,,,,"","","102434",,,65000,0,2202,66,4,C,,
2143628,13239,3551,27.9,14.0164578,50.2382,5,GA,,,7,A,1,06/01/2018,,22,,,,,,,"","","102434",,,65000,0,2202,176,3,C,,
2143629,13239,3551,27.9,14.0164578,50.2382,5,GA,,,6.9,A,1,06/01/2018,,22,,,,,,,"","","102434",,,65000,0,2202,177,4,C,,
623498,37810,2254,.011,.00031625,2.875,46,OZ,,,,,11,03/01/2018,,22,,,,,,,"","","PR 5989",,,10,0,2203,153,1,C,,
72139,40426,79,43.5,185.157315,425.649,36.4,GA,,,,,,01/01/2018,,22,,,,,,,"","","32982",,,40,0,2202,92,1,C,,X
2143567,28895,486,.8,.0010312,.1289,2,OZ,,,,,1,05/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2202,114,1,C,,
2143567,28895,90486,.2,.0002578,.1289,2,OZ,,,,,1,05/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2202,114,1,C,,
2143408,28895,486,.8,.0159776,1.9972,31,OZ,,,,,17,04/01/2018,,22,,,,,,,"","","BR 5258",,,10,0,2202,27,2,C,,
2143408,28895,90486,.2,.0039944,1.9972,31,OZ,,,,,17,04/01/2018,,22,,,,,,,"","","BR 5258",,,10,0,2202,27,2,C,,
2143369,8508,616,32.7,5.5772139,17.0557,14,PT,,,,,,04/01/2018,,22,,,,,,,"","","32982",,,40,0,2202,218,1,C,,
2455505,33340,2131,44.4,6.3799692,14.3693,1.5,GA,,,,,1,07/01/2018,,22,,,,,,,"","","30464",,,30,0,2204,88,2,C,,
3855213,23429,,,,.0082,.12,OZ,,,,,2,10/01/2018,,22,,,,,,,"","","31209",,,30,0,2203,58,1,C,,
2143512,23429,,,,.0164,.24,OZ,,,,,1,06/01/2018,,22,,,,,,,"","","31209",,,30,0,2202,284,1,C,,
3879916,25690,1696,50,.0703,.1406,2.25,OZ,1,A,1,A,1,12/10/2018,1430,22,M,06,S,17,E,15,"SIG-01","22182200126","",,G,154,42,2209,4,3,B,22M06S17E15,
623428,25052,2131,44.4,33.5825616,75.6364,8,GA,,,,,1,02/01/2018,,22,,,,,,,"","22182200430","",,,30,0,2203,84,1,C,,
623411,38303,1855,53.8,32.267088,59.976,6,GA,,,,,1,03/01/2018,,22,,,,,,,"","","30464",,,40,0,2203,62,1,C,,
623276,38303,1855,53.8,7.2600948,13.4946,1.35,GA,,,,,2,01/01/2018,,22,,,,,,,"","","30062",,,30,0,2204,36,8,C,,
2455453,5180,90486,.4,.0012712,.3178,6,OZ,,,,,1,07/01/2018,,22,,,,,,,"","","PR 667",,,10,0,2204,36,6,C,,
2455534,15163,225,.005,.00005,1,1,LB,9,A,2,A,1,07/29/2018,0800,22,M,06,S,18,E,03,"FB-01","22182200500","",,G,28035,0,2203,15,3,B,22M06S18E03,
2143727,15163,225,.005,.00005,1,1,LB,9,A,6,A,1,06/21/2018,0900,22,M,06,S,18,E,03,"FB-01","22182200500","",,G,28035,0,2201,84,4,B,22M06S18E03,
2143729,15163,225,.005,.0001,2,2,LB,9,A,6,A,1,06/28/2018,0900,22,M,06,S,18,E,03,"FB-01","22182200500","",,G,28035,0,2201,86,6,B,22M06S18E03,
3875976,67622,225,.005,.0025,50,50,LB,,,,,1,09/01/2018,,22,,,,,,,"","","PR 3383",,,10,0,2204,7,3,C,,
3855322,66819,5792,4,.042484,1.0621,16,OZ,,,,,2,09/01/2018,,22,,,,,,,"","","PR 0213",,,10,0,2203,9,2,C,,
623455,67864,5999,19.05,.19551015,1.0263,15.02,OZ,,,,,2,03/01/2018,,22,,,,,,,"","","31209",,,30,0,2203,128,1,C,,
3875994,69787,1695,.25,.00220275,.8811,14,OZ,,,,,1,09/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2204,25,9,C,,
623497,53227,2321,6.4,.0255232,.3988,6,OZ,,,,,6,03/01/2018,,22,,,,,,,"","","PR 5989",,,10,0,2203,152,3,C,,
3855340,52376,2171,24.8,.7546144,3.0428,49,OZ,,,,,,09/01/2018,,22,,,,,,,"","","PR 6757",,,10,0,2203,27,1,C,,
3879882,56729,2171,25.4,.2501392,.9848,1,PT,,,,,20,12/01/2018,,22,,,,,,,"","","PR 879",,,10,0,2210,20,1,C,,
3878729,56729,2171,25.4,.5002784,1.9696,1,QT,,,,,22,10/01/2018,,22,,,,,,,"","","PR 879",,,10,0,2206,47,1,C,,
3879694,56729,2171,25.4,.2345182,.9233,15,OZ,,,,,3,11/01/2018,,22,,,,,,,"","","PR 3383",,,10,0,2208,29,1,C,,
3038893,56729,2171,25.4,1.6571976,6.5244,106,OZ,,,,,105,08/01/2018,,22,,,,,,,"","","7945",,,10,0,2202,94,2,C,,
3038845,56729,2171,25.4,.6878828,2.7082,44,OZ,,,,,11,08/01/2018,,22,,,,,,,"","","PR 3383",,,10,0,2202,46,1,C,,
2143546,56729,2171,25.4,1.2976098,5.1087,83,OZ,,,,,14,05/01/2018,,22,,,,,,,"","","PR 3383",,,10,0,2202,94,1,C,,
72146,56729,2171,25.4,1.0943844,4.3086,70,OZ,,,,,70,01/01/2018,,22,,,,,,,"","","PR 5989",,,10,0,2202,65,2,C,,
2143514,56742,2300,7.9,.0107598,.1362,2,OZ,,,,,1,06/01/2018,,22,,,,,,,"","","PR 6567",,,10,0,2202,286,1,C,,
3855295,55149,5928,40.6,.1205008,.2968,4,OZ,,,,,1,12/01/2018,,22,,,,,,,"","","30464",,,40,0,2203,126,3,C,,
2143562,55149,5928,40.6,.0301252,.0742,1,OZ,,,,,1,05/01/2018,,22,,,,,,,"","","31261",,,30,0,2202,110,1,C,,
623278,57680,231,80,20.6,25.75,25.75,LB,,,,,5,01/01/2018,,22,,,,,,,"","","30062",,,30,0,2204,38,5,C,,
3038907,55178,5928,40.6,.1465254,.3609,.038,GA,,,,,4,09/01/2018,,22,,,,,,,"","","22092200308",,,100,20,2202,108,4,C,,
2455518,55178,5928,40.6,.1735244,.4274,.045,GA,,,,,1,07/01/2018,,22,,,,,,,"","","22092200308",,,100,20,2204,101,2,C,,
623242,50038,1855,41,1.121432,2.7352,36,OZ,1,A,1,A,1,01/05/2018,1255,22,M,06,S,17,E,15,"SIG-01","22182200126","",,G,154,42,2203,6,6,B,22M06S17E15,
3878736,50038,1855,41,.373797,.9117,12,OZ,1,A,1,A,1,10/28/2018,1430,22,M,06,S,17,E,15,"SIG-01","22182200126","",,G,154,42,2205,2,1,B,22M06S17E15,
3855302,48385,1855,41,.625742,1.5262,20,OZ,,,,,8,12/01/2018,,22,,,,,,,"","","107976",,,30,0,2203,133,1,C,,
2143678,50960,3834,22.4,.112,.5,.5,LB,5,A,1,A,1,04/12/2018,1000,22,M,05,S,20,E,18,"DRL-01","22182200142","",,G,4001,0,2201,34,13,B,22M05S20E18,
623387,48484,1973,22.3,2.0065763,8.9981,1,GA,,,,,1,03/01/2018,,22,,,,,,,"","","33076",,,40,0,2203,73,3,C,,
72155,66869,5792,1,.000661,.0661,30,GR,,,,,,01/01/2018,,22,,,,,,,"","","BR 4530",,,10,0,2202,74,3,C,,
3855277,67102,2254,.011,.00006875,.625,10,OZ,,,,,6,12/01/2018,,22,,,,,,,"","","7945",,,10,0,2203,148,5,C,,
2143431,67125,3985,.1,.0001559,.1559,3,OZ,,,,,,05/01/2018,,22,,,,,,,"","","BR 4530",,,10,0,2202,242,6,C,,
2143596,60710,3849,.03,.00016752,.5584,6,OZ,,,,,3,06/01/2018,,22,,,,,,,"","","PR 1621",,,10,0,2202,144,4,C,,
3038861,48697,2008,36.8,.1312656,.3567,5.28,OZ,,,,,2,08/01/2018,,22,,,,,,,"","","PR 5559",,,10,0,2202,62,2,C,,
2143464,48697,2008,36.8,.3232144,.8783,13,OZ,,,,,26,04/01/2018,,22,,,,,,,"","","PR 3921",,,10,0,2202,46,1,C,,
2143674,50363,5321,50,.09375,.1875,3,OZ,5,A,2,A,1,04/24/2018,1000,22,M,05,S,20,E,18,"DRL-01","22182200142","",,G,4001,0,2201,30,9,B,22M05S20E18,
3878690,48747,3938,21.45,.0030459,.0142,.19,OZ,,,,,1,10/01/2018,,22,,,,,,,"","","5546",,,10,0,2206,39,1,C,,
3855278,48747,3938,21.45,.02413125,.1125,1.5,OZ,,,,,,12/01/2018,,22,,,,,,,"","","BR 3953",,,10,0,2203,149,1,C,,
2143550,48747,3938,21.45,.02413125,.1125,1.5,OZ,,,,,,05/01/2018,,22,,,,,,,"","","PR 6757",,,10,0,2202,98,5,C,,
