use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
3012818,46556,4020,5,.165,3.3,3.3,LB,130,A,11,A,1,09/11/2018,2200,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,14,4,A,41M09S04W20,
3012847,51055,,,,5.0965,.59,GA,22,A,7.5,A,1,09/12/2018,0020,41,M,08,S,05,W,16,"SITE 2A","41184100311","",,G,13006,0,4101,54,6,A,41M08S05W16,
3012859,49243,5698,22.6,2.552783,11.2955,1.13,GA,130,A,18,A,1,09/19/2018,0540,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,66,5,A,41M09S04W20,
3012860,63030,5964,9.26,.90821154,9.8079,1.09,GA,95,A,15.5,A,1,09/19/2018,0300,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,13006,0,4101,67,4,A,41M08S05W17,
3012864,56290,3849,40.7,.4841265,1.1895,.12,GA,64,A,10,A,1,09/20/2018,2240,41,M,08,S,05,W,33,"SITE 2","41184100309","",,G,13006,0,4101,93,3,A,41M08S05W33,
3012871,63030,5964,9.26,.6249111,6.7485,.75,GA,45,A,10.6,A,1,09/19/2018,2100,41,M,09,S,04,W,29,"SITE 9B","41184100327","",,G,13006,0,4101,109,4,A,41M09S04W29,
3012875,67566,5754,9.3,.8284533,8.9081,.99,GA,45,A,10.6,A,1,09/19/2018,2100,41,M,09,S,04,W,29,"SITE 9B","41184100327","",,G,13006,0,4101,113,5,A,41M09S04W29,
3012835,67566,5754,9.3,.435147,4.679,.52,GA,95,A,5.5,A,1,09/12/2018,0315,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,13006,0,4101,42,5,A,41M08S05W17,
3012837,48351,4037,22.9,.5821867,2.5423,.28,GA,17,A,3,A,1,09/12/2018,0400,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,13018,0,4101,44,2,A,41M08S05W17,
3012841,51055,,,,1.9868,.23,GA,17,A,3,A,1,09/12/2018,0400,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,13018,0,4101,48,5,A,41M08S05W17,
3012842,63030,2297,4.63,.2208047,4.769,.53,GA,22,A,7.5,A,1,09/12/2018,0020,41,M,08,S,05,W,16,"SITE 2A","41184100311","",,G,13006,0,4101,49,4,A,41M08S05W16,
3012901,51055,,,,9.0701,1.05,GA,22,A,13.5,A,1,09/18/2018,0400,41,M,08,S,05,W,16,"SITE 2A","41184100311","",,G,13006,0,4101,88,6,A,41M08S05W16,
3012902,66171,2297,22.8,.3145716,1.3797,.15,GA,64,A,10,A,1,09/20/2018,2240,41,M,08,S,05,W,33,"SITE 2","41184100309","",,G,13006,0,4101,89,6,A,41M08S05W33,
3012905,58221,5955,22.4,.7859264,3.5086,.39,GA,64,A,10,A,1,09/20/2018,2240,41,M,08,S,05,W,33,"SITE 2","41184100309","",,G,13006,0,4101,92,2,A,41M08S05W33,
3012916,62970,6004,21.4,1.2320194,5.7571,.59,GA,64,A,10,A,1,09/23/2018,2215,41,M,08,S,05,W,33,"SITE 2","41184100309","",,G,13006,0,4101,123,1,A,41M08S05W33,
3012923,63030,5964,9.26,.8748848,9.448,1.05,GA,130,A,15,A,1,09/18/2018,2230,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,130,2,A,41M09S04W20,
3012928,68086,6098,17.09,2.50247161,14.6429,1.5,GA,45,A,16,A,1,09/25/2018,2130,41,M,09,S,04,W,29,"SITE 9B","41184100327","",,G,13006,0,4101,135,2,A,41M09S04W29,
3012931,56290,3849,40.7,.7665438,1.8834,.19,GA,45,A,16,A,1,09/25/2018,2130,41,M,09,S,04,W,29,"SITE 9B","41184100327","",,G,13006,0,4101,138,5,A,41M09S04W29,
3012932,51055,,,,10.7978,1.25,GA,45,A,16,A,1,09/25/2018,2130,41,M,09,S,04,W,29,"SITE 9B","41184100327","",,G,13006,0,4101,139,6,A,41M09S04W29,
3517575,48484,1973,22.3,3.5114918,15.7466,1.75,GA,80,A,7,A,1,11/20/2018,0930,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,49,1,A,41M08S05W17,
3517580,48484,1973,22.3,4.5147688,20.2456,2.25,GA,80,A,9,A,1,11/20/2018,0900,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,54,1,A,41M08S05W17,
3736327,51055,,,,4.751,.55,GA,20,A,7,A,1,12/14/2018,0430,41,M,08,S,05,W,08,"SITE 2A","41184100313","",,G,14010,0,4101,2,4,A,41M08S05W08,
3736333,69491,,,,10.9811,1.13,GA,80,A,9,A,1,12/14/2018,0500,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4101,8,3,A,41M08S05W17,
3736352,67566,5754,9.3,1.0962375,11.7875,1.31,GA,130,A,14,A,1,09/06/2018,1000,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,27,5,A,41M09S04W20,
3736345,55370,3849,17.4,.4702176,2.7024,.3,GA,130,A,10,A,1,09/08/2018,0800,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,20,2,A,41M09S04W20,
3736348,46556,4020,5,.21,4.2,4.2,LB,130,A,14,A,1,09/06/2018,1000,41,M,09,S,04,W,20,"SITE 2","41184100327","",,G,13006,0,4101,23,4,A,41M09S04W20,
3517540,51055,,,,16.2398,1.88,GA,80,A,15,A,1,11/19/2018,1600,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,14,3,A,41M08S05W17,
3517543,51055,,,,10.7978,1.25,GA,80,A,10,A,1,11/19/2018,1700,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,17,3,A,41M08S05W17,
3517549,53007,,,,1.1997,.16,GA,80,A,10,A,1,11/20/2018,0500,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,23,2,A,41M08S05W17,
3517553,48484,1973,22.3,4.2739957,19.1659,2.13,GA,80,A,8.5,A,1,11/20/2018,0630,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,27,1,A,41M08S05W17,
3517564,48484,1973,22.3,5.0164296,22.4952,2.5,GA,80,A,10,A,1,11/20/2018,0740,41,M,08,S,05,W,17,"SITE 3","41184100310","",,G,66000,0,4109,38,1,A,41M08S05W17,
3517569,51055,,,,13.4756,1.56,GA,145,A,20,A,1,11/20/2018,0700,41,M,05,S,06,W,11,"SITE 5","41184100201","",,G,13006,0,4109,43,5,A,41M05S06W11,
